,21700,,,,,,,,,"^2-ох.комн. ЮЗР, ПЗР 21700у.е. ремон, Без Комиссионных",https://www.olx.ua/obyavlenie/2-oh-komn-yuzr-pzr-21700u-e-remon-bez-komissionnyh-IDt7UBV.html,"Продам двух комнатную квартиру в Юго-Западном районе, Без Комиссионных, сделан качественный ремонт, стяжка стен и потолка, установлены стеклопакеты,  счетчики на воду, балкон утеплен, металлическая дв"
,17000,,,,,,,,,"2-ком., ул. Ватутина, р-н 25 школы",https://www.olx.ua/obyavlenie/2-kom-ul-vatutina-r-n-25-shkoly-IDrt7w2.html,"Квартира в хорошем жилом состоянии, везде установлены метало-пластиковые окна, линолеум, с/у в плитке, кондиционер, балкон застеклен. Район с очень хорошо развитой инфраструктурой. Квартира реальная, "
,14500,,,,,,,,,СРОЧНО! Продам 1кв. ЮГЗ 14500$,https://www.olx.ua/obyavlenie/srochno-prodam-1kv-yugz-14500-IDsX5GG.html,"СРОЧНО ПРОДАМ 1комн. квартиру в ЮГЗ районе. В квартире обычное жилое состояние, поменяна проводка (медная), потянуты потолки, в комнате подвесной  потолок,  на кухне рабочая зона в плитке, с/у раздель"
,31000,,,,,,,,,"Срочная продажа 3-х комн.кв., р-н Седова, ул. Волкова, 4/5/П",https://www.olx.ua/obyavlenie/srochnaya-prodazha-3-h-komn-kv-r-n-sedova-ul-volkova-4-5-p-IDtyttE.html,"Срочная продажа 3-х комнатной квартиры, район Седова, улица Волкова, на 4 этаже 5-ти этажного панельного дома. Отличный вариант ""заходи и живи"", уютная атмосфера и благоприятная аура. Сделан капитальн"
,105000,,,,,,,,,192 кв.м. Казбет двоповерхова квартира преміум класу,https://www.olx.ua/obyavlenie/192-kv-m-kazbet-dvopoverhova-kvartira-premum-klasu-IDto8cI.html,"Увага!!! Квартира в центрі міста преміум класу з найбільшою площею 192 кв.м. Адреса вул.Шевченко 150. Будинок зданий в експлуатацію. В квартирі незакінчений ремонт. Стіни та стеля потянуті, виконана р"
,18499,,,,,,,,,"2-х ком. кв., ул. Пастеровская - Надпольная, 1/5/К",https://www.olx.ua/obyavlenie/2-h-kom-kv-ul-pasterovskaya-nadpolnaya-1-5-k-IDseN74.html,"Продажа 2-х ком. кв., ул. Пастеровская - ул. Надпольная, на 1 этаже 5 этажного кирпичного дома. В квартире скромное жилое состояние."
,15000,,,,,,,,,"1 ком. кв. р-н водоканала, ул Громова, 8/9/К,",https://www.olx.ua/obyavlenie/1-kom-kv-r-n-vodokanala-ul-gromova-8-9-k-IDseLQV.html,"Продается 1 комнатная квартира, с самой удачной планировкой - комната с нишей. В квартире хорошее жилое состояние, установлены стеклопакеты, сделан косметический ремонт в комнате и на кухне, санузел п"
,13500,,,,,,,,,"1 ком. кв., ул. Добровольского, 2/3/К",https://www.olx.ua/obyavlenie/1-kom-kv-ul-dobrovolskogo-2-3-k-IDsekOk.html,"Продажа 1 комнатной квартиры, по улице Добровольского, на 2 этаже 3 этажного кирпичного дома. В квартире хорошее жилое состояние, установлены стеклопакеты, высокие потолки, замена проводки, санузел со"
,13999,,,,,,,,,"1 ком. кв., ул. Вербовецкого, 9/9/К",https://www.olx.ua/obyavlenie/1-kom-kv-ul-verbovetskogo-9-9-k-IDsekoE.html,"Продается 1 комнатная квартира, по улице Вербовецкого, на 9 этаже 9 этажного кирпичного дома. В квартире хорошее жилое состояние, установлены стеклопакеты, санузел облицован плиткой, балкон застеклен."
,19000,,,,,,,,,"2-х ком. кв., ул. Волкова, 3/5/П",https://www.olx.ua/obyavlenie/2-h-kom-kv-ul-volkova-3-5-p-IDseAsv.html,"Продается 2-х  комнатная квартира, в хорошем жилом состоянии,  после косметического ремонта. В комнатах сделана стяжка потолков, переклеены обои, поменяны окна. Санузле раздельный, в ванной современна"
,18000,,,,,,,,,"1 ком. кв., Мытница, ул. С. Смирнова, 3/10/П",https://www.olx.ua/obyavlenie/1-kom-kv-mytnitsa-ul-s-smirnova-3-10-p-IDseBlv.html,"Продается 1 комнатная квартира в центральной части микрорайона Мытница, по улице Смирнова. В квартире хорошее жилое состояние, установлены стеклопакеты, поменяна сантехника, в санузле современная плит"
,25000,,,,,,,,,"3-х ком. кв., 30 лет Победы -Сумгаитская, 7/9/П",https://www.olx.ua/obyavlenie/3-h-kom-kv-30-let-pobedy-sumgaitskaya-7-9-p-IDseFtg.html,"Продается 3-х комнатная квартира, в хорошем жилом состоянии, в квартире поменяны окна, межкомнатные двери, в санузле замена сантехники, установлены счетчики . Рабочая часть в кухне и санузел облицован"
,25999,,,,,,,,,"3-х ком. кв., ул. Козацкая, 2/9/П",https://www.olx.ua/obyavlenie/3-h-kom-kv-ul-kozatskaya-2-9-p-IDseIFv.html,"Продажа 3-х комнатной квартиры, по улице Козацкая, на 2 этаже 9 этажного панельного дома, в квартире жилое состояние, установлены стеклопакеты, санузел раздельный, 2 балкона застеклены."
,16499,,,,,,,,,"4-х ком. кв., ул. Р.Люксембург, 1/5/П",https://www.olx.ua/obyavlenie/4-h-kom-kv-ul-r-lyuksemburg-1-5-p-IDseI7c.html,"Продается 4-х комнатная квартира, по улице Р. Люксембург, на 1 этаже 5 этажного панельного дома. В квартире скромное жилое состояние, санузел раздельный, кухня облицована плиткой."
