2,21700,434.0,50,28 м2,8 м2,Панельный,6,9,Бизнес,Вторичный рынок,"^2-ох.комн. ЮЗР, ПЗР 21700у.е. ремон, Без Комиссионных","Продам двух комнатную квартиру в Юго-Западном районе, Без Комиссионных, сделан качественный ремонт, стяжка стен и потолка, установлены стеклопакеты,  счетчики на воду, балкон утеплен, металлическая дв",https://www.olx.ua/obyavlenie/2-oh-komn-yuzr-pzr-21700u-e-remon-bez-komissionnyh-IDt7UBV.html
2,17000,369.0,46,28 м2,6 м2,3,5,,Бизнес,Вторичный рынок,"2-ком., ул. Ватутина, р-н 25 школы","Квартира в хорошем жилом состоянии, везде установлены метало-пластиковые окна, линолеум, с/у в плитке, кондиционер, балкон застеклен. Район с очень хорошо развитой инфраструктурой. Квартира реальная, ",https://www.olx.ua/obyavlenie/2-kom-ul-vatutina-r-n-25-shkoly-IDrt7w2.html
1,14500,414.0,35,17 м2,9 м2,Панельный,9,9,Бизнес,Вторичный рынок,СРОЧНО! Продам 1кв. ЮГЗ 14500$,"СРОЧНО ПРОДАМ 1комн. квартиру в ЮГЗ районе. В квартире обычное жилое состояние, поменяна проводка (медная), потянуты потолки, в комнате подвесной  потолок,  на кухне рабочая зона в плитке, с/у раздель",https://www.olx.ua/obyavlenie/srochno-prodam-1kv-yugz-14500-IDsX5GG.html
3,31000,500.0,62,45 м2,6 м2,Панельный,4,5,Бизнес,Вторичный рынок,"Срочная продажа 3-х комн.кв., р-н Седова, ул. Волкова, 4/5/П","Срочная продажа 3-х комнатной квартиры, район Седова, улица Волкова, на 4 этаже 5-ти этажного панельного дома. Отличный вариант ""заходи и живи"", уютная атмосфера и благоприятная аура. Сделан капитальн",https://www.olx.ua/obyavlenie/srochnaya-prodazha-3-h-komn-kv-r-n-sedova-ul-volkova-4-5-p-IDtyttE.html
3,105000,546.0,192,23 м2,6,7,,,Бизнес,Вторичный рынок,192 кв.м. Казбет двоповерхова квартира преміум класу,"Увага!!! Квартира в центрі міста преміум класу з найбільшою площею 192 кв.м. Адреса вул.Шевченко 150. Будинок зданий в експлуатацію. В квартирі незакінчений ремонт. Стіни та стеля потянуті, виконана р",https://www.olx.ua/obyavlenie/192-kv-m-kazbet-dvopoverhova-kvartira-premum-klasu-IDto8cI.html
2,18499,420.0,44,28 м2,6 м2,Кирпичный,1,5,Бизнес,Вторичный рынок,"2-х ком. кв., ул. Пастеровская - Надпольная, 1/5/К","Продажа 2-х ком. кв., ул. Пастеровская - ул. Надпольная, на 1 этаже 5 этажного кирпичного дома. В квартире скромное жилое состояние.",https://www.olx.ua/obyavlenie/2-h-kom-kv-ul-pasterovskaya-nadpolnaya-1-5-k-IDseN74.html
1,15000,416.0,36,19 м2,7 м2,Кирпичный,8,9,Бизнес,Вторичный рынок,"1 ком. кв. р-н водоканала, ул Громова, 8/9/К,","Продается 1 комнатная квартира, с самой удачной планировкой - комната с нишей. В квартире хорошее жилое состояние, установлены стеклопакеты, сделан косметический ремонт в комнате и на кухне, санузел п",https://www.olx.ua/obyavlenie/1-kom-kv-r-n-vodokanala-ul-gromova-8-9-k-IDseLQV.html
1,13500,409.0,33,18 м2,7 м2,Кирпичный,2,3,Бизнес,Вторичный рынок,"1 ком. кв., ул. Добровольского, 2/3/К","Продажа 1 комнатной квартиры, по улице Добровольского, на 2 этаже 3 этажного кирпичного дома. В квартире хорошее жилое состояние, установлены стеклопакеты, высокие потолки, замена проводки, санузел со",https://www.olx.ua/obyavlenie/1-kom-kv-ul-dobrovolskogo-2-3-k-IDsekOk.html
1,13999,466.0,30,15 м2,6 м2,Кирпичный,9,9,Бизнес,Вторичный рынок,"1 ком. кв., ул. Вербовецкого, 9/9/К","Продается 1 комнатная квартира, по улице Вербовецкого, на 9 этаже 9 этажного кирпичного дома. В квартире хорошее жилое состояние, установлены стеклопакеты, санузел облицован плиткой, балкон застеклен.",https://www.olx.ua/obyavlenie/1-kom-kv-ul-verbovetskogo-9-9-k-IDsekoE.html
2,19000,413.0,46,28 м2,6 м2,Панельный,3,5,Бизнес,Вторичный рынок,"2-х ком. кв., ул. Волкова, 3/5/П","Продается 2-х  комнатная квартира, в хорошем жилом состоянии,  после косметического ремонта. В комнатах сделана стяжка потолков, переклеены обои, поменяны окна. Санузле раздельный, в ванной современна",https://www.olx.ua/obyavlenie/2-h-kom-kv-ul-volkova-3-5-p-IDseAsv.html
