2,21700,,50,28 м2,8 м2,Панельный,6,9,Бизнес,Вторичный рынок,"^2-ох.комн. ЮЗР, ПЗР 21700у.е. ремон, Без Комиссионных","Продам двух комнатную квартиру в Юго-Западном районе, Без Комиссионных, сделан качественный ремонт, стяжка стен и потолка, установлены стеклопакеты,  счетчики на воду, балкон утеплен, металлическая дв",https://www.olx.ua/obyavlenie/2-oh-komn-yuzr-pzr-21700u-e-remon-bez-komissionnyh-IDt7UBV.html
2,17000,,46,28 м2,6 м2,3,5,,Бизнес,Вторичный рынок,"2-ком., ул. Ватутина, р-н 25 школы","Квартира в хорошем жилом состоянии, везде установлены метало-пластиковые окна, линолеум, с/у в плитке, кондиционер, балкон застеклен. Район с очень хорошо развитой инфраструктурой. Квартира реальная, ",https://www.olx.ua/obyavlenie/2-kom-ul-vatutina-r-n-25-shkoly-IDrt7w2.html
1,14500,,35,17 м2,9 м2,Панельный,9,9,Бизнес,Вторичный рынок,СРОЧНО! Продам 1кв. ЮГЗ 14500$,"СРОЧНО ПРОДАМ 1комн. квартиру в ЮГЗ районе. В квартире обычное жилое состояние, поменяна проводка (медная), потянуты потолки, в комнате подвесной  потолок,  на кухне рабочая зона в плитке, с/у раздель",https://www.olx.ua/obyavlenie/srochno-prodam-1kv-yugz-14500-IDsX5GG.html
3,31000,,62,45 м2,6 м2,Панельный,4,5,Бизнес,Вторичный рынок,"Срочная продажа 3-х комн.кв., р-н Седова, ул. Волкова, 4/5/П","Срочная продажа 3-х комнатной квартиры, район Седова, улица Волкова, на 4 этаже 5-ти этажного панельного дома. Отличный вариант ""заходи и живи"", уютная атмосфера и благоприятная аура. Сделан капитальн",https://www.olx.ua/obyavlenie/srochnaya-prodazha-3-h-komn-kv-r-n-sedova-ul-volkova-4-5-p-IDtyttE.html
3,105000,,192,23 м2,6,7,,,Бизнес,Вторичный рынок,192 кв.м. Казбет двоповерхова квартира преміум класу,"Увага!!! Квартира в центрі міста преміум класу з найбільшою площею 192 кв.м. Адреса вул.Шевченко 150. Будинок зданий в експлуатацію. В квартирі незакінчений ремонт. Стіни та стеля потянуті, виконана р",https://www.olx.ua/obyavlenie/192-kv-m-kazbet-dvopoverhova-kvartira-premum-klasu-IDto8cI.html
2,18499,,44,28 м2,6 м2,Кирпичный,1,5,Бизнес,Вторичный рынок,"2-х ком. кв., ул. Пастеровская - Надпольная, 1/5/К","Продажа 2-х ком. кв., ул. Пастеровская - ул. Надпольная, на 1 этаже 5 этажного кирпичного дома. В квартире скромное жилое состояние.",https://www.olx.ua/obyavlenie/2-h-kom-kv-ul-pasterovskaya-nadpolnaya-1-5-k-IDseN74.html
1,15000,,36,19 м2,7 м2,Кирпичный,8,9,Бизнес,Вторичный рынок,"1 ком. кв. р-н водоканала, ул Громова, 8/9/К,","Продается 1 комнатная квартира, с самой удачной планировкой - комната с нишей. В квартире хорошее жилое состояние, установлены стеклопакеты, сделан косметический ремонт в комнате и на кухне, санузел п",https://www.olx.ua/obyavlenie/1-kom-kv-r-n-vodokanala-ul-gromova-8-9-k-IDseLQV.html
1,13500,,33,18 м2,7 м2,Кирпичный,2,3,Бизнес,Вторичный рынок,"1 ком. кв., ул. Добровольского, 2/3/К","Продажа 1 комнатной квартиры, по улице Добровольского, на 2 этаже 3 этажного кирпичного дома. В квартире хорошее жилое состояние, установлены стеклопакеты, высокие потолки, замена проводки, санузел со",https://www.olx.ua/obyavlenie/1-kom-kv-ul-dobrovolskogo-2-3-k-IDsekOk.html
1,13999,,30,15 м2,6 м2,Кирпичный,9,9,Бизнес,Вторичный рынок,"1 ком. кв., ул. Вербовецкого, 9/9/К","Продается 1 комнатная квартира, по улице Вербовецкого, на 9 этаже 9 этажного кирпичного дома. В квартире хорошее жилое состояние, установлены стеклопакеты, санузел облицован плиткой, балкон застеклен.",https://www.olx.ua/obyavlenie/1-kom-kv-ul-verbovetskogo-9-9-k-IDsekoE.html
2,19000,,46,28 м2,6 м2,Панельный,3,5,Бизнес,Вторичный рынок,"2-х ком. кв., ул. Волкова, 3/5/П","Продается 2-х  комнатная квартира, в хорошем жилом состоянии,  после косметического ремонта. В комнатах сделана стяжка потолков, переклеены обои, поменяны окна. Санузле раздельный, в ванной современна",https://www.olx.ua/obyavlenie/2-h-kom-kv-ul-volkova-3-5-p-IDseAsv.html
1,18000,,35,17 м2,9 м2,Панельный,3,10,Бизнес,Вторичный рынок,"1 ком. кв., Мытница, ул. С. Смирнова, 3/10/П","Продается 1 комнатная квартира в центральной части микрорайона Мытница, по улице Смирнова. В квартире хорошее жилое состояние, установлены стеклопакеты, поменяна сантехника, в санузле современная плит",https://www.olx.ua/obyavlenie/1-kom-kv-mytnitsa-ul-s-smirnova-3-10-p-IDseBlv.html
3,25000,,68,43 м2,8 м2,Панельный,7,9,Бизнес,Вторичный рынок,"3-х ком. кв., 30 лет Победы -Сумгаитская, 7/9/П","Продается 3-х комнатная квартира, в хорошем жилом состоянии, в квартире поменяны окна, межкомнатные двери, в санузле замена сантехники, установлены счетчики . Рабочая часть в кухне и санузел облицован",https://www.olx.ua/obyavlenie/3-h-kom-kv-30-let-pobedy-sumgaitskaya-7-9-p-IDseFtg.html
3,25999,,66,38 м2,8 м2,Панельный,2,9,Бизнес,Вторичный рынок,"3-х ком. кв., ул. Козацкая, 2/9/П","Продажа 3-х комнатной квартиры, по улице Козацкая, на 2 этаже 9 этажного панельного дома, в квартире жилое состояние, установлены стеклопакеты, санузел раздельный, 2 балкона застеклены.",https://www.olx.ua/obyavlenie/3-h-kom-kv-ul-kozatskaya-2-9-p-IDseIFv.html
4,16499,,61,45 м2,6 м2,Панельный,1,5,Бизнес,Вторичный рынок,"4-х ком. кв., ул. Р.Люксембург, 1/5/П","Продается 4-х комнатная квартира, по улице Р. Люксембург, на 1 этаже 5 этажного панельного дома. В квартире скромное жилое состояние, санузел раздельный, кухня облицована плиткой.",https://www.olx.ua/obyavlenie/4-h-kom-kv-ul-r-lyuksemburg-1-5-p-IDseI7c.html
1,17000,,35,17 м2,9 м2,Панельный,3,9,Бизнес,Вторичный рынок,"Продается 1-комн. кв., Мытница, ул. Припортова, 3/9/П, 35/17/9","Продается 1-комнатная квартира, р-н Мытницы, ул. Припортовая (Г.Сталинграда). Квартира в аккуратном жилом состоянии с просторной кухней, установлены стеклопакеты, балкон застеклен стеклопакетами, сану",https://www.olx.ua/obyavlenie/prodaetsya-1-komn-kv-mytnitsa-ul-priportova-3-9-p-35-17-9-IDsSEN6.html
3,17999,,60,45 м2,6 м2,Панельный,3,5,Бизнес,Вторичный рынок,"3-х ком. кв., ул. Седова- Гоголя, 3/5/П","Продажа 3-х комнатной квартиры, р-н Седова, на 3 этаже 5 этажного панельного дома. В квартире советское жилое состояние, санузел раздельный, балкон застеклен.",https://www.olx.ua/obyavlenie/3-h-kom-kv-ul-sedova-gogolya-3-5-p-IDskiXY.html
1,11500,,31,17 м2,6 м2,Кирпичный,4,4,Бизнес,Вторичный рынок,"1 ком. кв., ул. Черновола, 4/4/К","Продается 1 комнатная квартира, по улице В. Черновола, на 4 этаже 4 этажного кирпичного дома. В квартире жилое состояние, установлены стеклопакеты, санузел совместный, балкон не застеклен.",https://www.olx.ua/obyavlenie/1-kom-kv-ul-chernovola-4-4-k-IDskiDM.html
1,14800,,29,15 м2,7 м2,Кирпичный,6,9,Бизнес,Вторичный рынок,"1 ком. кв, ул. Рождественская, 6/9/К","Продается 1 комнатная квартира, в хорошем жилом состоянии, установлены стеклопакеты, потянуты стены и потолки, в санузле поменяна сантехника, рабочая часть на кухне и санузле облицована харьковской пл",https://www.olx.ua/obyavlenie/1-kom-kv-ul-rozhdestvenskaya-6-9-k-IDski0U.html
2,21000,,52,26 м2,11 м2,Кирпичный,9,9,Бизнес,Вторичный рынок,Двух комнатная квартира с самой большой кухней в районе!,"Хорошая двухкомнатная квартира в Юго Западном районе (ЮЗР) по ул. Тараскова, 12.   -- Удачная планировка с просторными комнатами и большой кухней - 10,7 м2 -- Балкон в два раза больше стандартного, це",https://www.olx.ua/obyavlenie/dvuh-komnatnaya-kvartira-s-samoy-bolshoy-kuhney-v-rayone-IDtEZ6k.html
3,,,66,40 м2,10 м2,1,9,,Бизнес,Вторичный рынок,3 кімн. ЦЕНТР вул. Гоголя-Б.Хмельницького  Цегляний будинок,"Продається 3 кімнатна квартира в Центрі по вулиці Гоголя,330 (центр зайнятості) в цегляному будинку. Жилий стан. Квартира на дві сторони. ОСББ. Лічильник тепла на будинку.

Компанія: Експерт з нерухо",https://www.olx.ua/obyavlenie/3-kmn-tsentr-vul-gogolya-b-hmelnitskogo-tseglyaniy-budinok-IDsmMqQ.html
2,24000,,45,28 м2,7 м2,3,5,,Бизнес,Вторичный рынок,"2 кімн. вул. Хоменко,18/1, 2Р, з меблями та технікою","Продається 2 кімнатна квартира по вулиці Хоменко,18/1. Квартира з ремонтом. Кімнати роздільні, просторі, світлі. Не кутова. 3 поверх. С/в роздільний, обкладений сучасною плиткою. Балкон засклений. М/п",https://www.olx.ua/obyavlenie/2-kmn-vul-homenko-18-1-2r-z-meblyami-ta-tehnkoyu-IDrTvNU.html
